tconst,title,year,genres,rating,votes,clean_title,description
tt1469304,Baywatch,2017,"Action,Comedy,Crime",5.5,216204.0,baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay."
tt0053604,The Apartment,1960,"Comedy,Drama,Romance",8.3,216148.0,the apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve."
tt0756683,The Man from Earth,2007,"Drama,Fantasy,Mystery",7.8,216086.0,the man from earth,"A departing professor gathers his closest colleagues for an intimate farewell, but the night takes an unexpected turn when he shares a stunning secret about his past. As the conversation unfolds, skepticism and curiosity collide, challenging everything they thought they knew about history, science, and belief."
tt1111422,The Taking of Pelham 123,2009,"Action,Crime,Thriller",6.4,215969.0,the taking of pelham 123,"Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime."
tt2873282,Red Sparrow,2018,"Action,Drama,Thriller",6.6,215817.0,red sparrow,"Prima ballerina Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust."
tt0371724,The Hitchhiker's Guide to the Galaxy,2005,"Adventure,Comedy,Sci-Fi",6.7,215792.0,the hitchhiker's guide to the galaxy,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy."""
tt1815862,After Earth,2013,"Action,Adventure,Drama",4.8,215632.0,after earth,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance."
tt0375063,Sideways,2004,"Comedy,Drama,Romance",7.5,215498.0,sideways,"Two middle-aged men embark on a spiritual journey through Californian wine country. One is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle."
tt0114148,Pocahontas,1995,"Adventure,Animation,Drama",6.7,215236.0,pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia."
tt23468450,Longlegs,2024,"Crime,Horror,Mystery",6.6,215195.0,longlegs,"FBI Agent Lee Harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer. As the case takes complex turns, unearthing evidence of the occult, Harker discovers a personal connection to the merciless killer and must race against time to stop him before he claims the lives of another innocent family."
tt4520988,Frozen II,2019,"Adventure,Animation,Comedy",6.8,215107.0,frozen ii,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom."
tt9770150,Nomadland,2020,Drama,7.3,214721.0,nomadland,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad."
tt0021749,City Lights,1931,"Comedy,Drama,Romance",8.5,214652.0,city lights,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.
tt0366551,Harold & Kumar Go to White Castle,2004,"Adventure,Comedy",7.0,214635.0,harold & kumar go to white castle,"Nerdy accountant Harold and his irrepressible friend, Kumar, get stoned watching television and find themselves utterly bewitched by a commercial for White Castle. Convinced there must be one nearby, the two set out on a late-night odyssey that takes them deep into New Jersey. Somehow, the boys manage to run afoul of rednecks, cops and even a car-stealing Neil Patrick Harris before getting anywhere near their beloved sliders."
tt0309593,Final Destination 2,2003,"Horror,Thriller",6.2,214417.0,final destination 2,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next."
tt1458175,The Next Three Days,2010,"Action,Crime,Drama",7.3,214230.0,the next three days,"A married couple's life is turned upside down when the wife is accused of murdering her boss. Her husband John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. When the strain of being separated from her husband and son gets to her, John decides to find a way to break her out."
tt0106677,Dazed and Confused,1993,Comedy,7.6,214042.0,dazed and confused,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge."
tt0058150,Goldfinger,1964,"Action,Adventure,Thriller",7.7,214014.0,goldfinger,"Special agent 007 comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy."
tt1277953,Madagascar 3: Europe's Most Wanted,2012,"Adventure,Animation,Comedy",6.8,213995.0,madagascar 3: europe's most wanted,"Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus."
tt1213641,First Man,2018,"Biography,Drama,History",7.3,213957.0,first man,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969."
tt0050976,The Seventh Seal,1957,"Drama,Fantasy",8.1,213878.0,the seventh seal,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives."
tt0993842,Hanna,2011,"Action,Adventure,Drama",6.7,213864.0,hanna,"Raised by her father, an ex-CIA agent, in the wilds of Finland, Hanna's upbringing has been geared to making her the perfect assassin. Sent into the world by her father on a mission, Hanna journeys across Europe, eluding agents dispatched after her by a ruthless intelligence operative. As she nears her ultimate target, Hanna faces startling revelations about her existence."
tt1038988,REC,2007,"Horror,Mystery,Thriller",7.4,213860.0,rec,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.
tt0432021,Resident Evil: Extinction,2007,"Action,Horror,Sci-Fi",6.2,213755.0,resident evil: extinction,"Years after the Racoon City catastrophe, survivors travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against hordes of zombies and the evil Umbrella Corp."
tt0120347,Tomorrow Never Dies,1997,"Action,Adventure,Thriller",6.5,213612.0,tomorrow never dies,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now James Bond must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.
tt2446042,Taken 3,2014,"Action,Crime,Thriller",6.0,213480.0,taken 3,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice."
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure,Family,Fantasy",5.9,213290.0,percy jackson & the olympians: the lightning thief,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world."
tt2267968,Kung Fu Panda 3,2016,"Action,Adventure,Animation",7.1,213115.0,kung fu panda 3,"While Po and his father are visiting a secret panda village, an evil spirit threatens all of China, forcing Po to form a ragtag army to fight back."
tt0268126,Adaptation.,2002,"Comedy,Drama",7.7,212496.0,adaptation.,"Charlie Kaufman is a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald. While struggling to adapt ""The Orchid Thief,"" by Susan Orlean, Kaufman's life spins from pathetic to bizarre. The lives of Kaufman, Orlean's book, become strangely intertwined as each one's search for passion collides with the others'."
tt0116209,The English Patient,1996,"Drama,Romance,War",7.4,211987.0,the english patient,"In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics."
tt3416742,What We Do in the Shadows,2014,"Comedy,Horror",7.6,211786.0,what we do in the shadows,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.
tt0119081,Event Horizon,1997,"Horror,Sci-Fi,Thriller",6.6,211701.0,event horizon,"In 2047, a group of astronauts are sent to investigate and salvage the starship Event Horizon which disappeared mysteriously seven years before on its maiden voyage. However, it soon becomes evident that something sinister resides in its corridors."
tt7322224,Triangle of Sadness,2022,"Comedy,Drama",7.2,211699.0,triangle of sadness,"A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy."
tt0415306,Talladega Nights: The Ballad of Ricky Bobby,2006,"Comedy,Sport",6.6,211638.0,talladega nights: the ballad of ricky bobby,"The fastest man on four wheels, Ricky Bobby, is one of the greatest drivers in NASCAR history. A big, hairy American winning machine, Ricky has everything a dimwitted daredevil could want, a luxurious mansion, a smokin' hot wife, and all the fast food he can eat. But Ricky's turbo-charged lifestyle hits an unexpected speed bump when he's bested by flamboyant Euro-idiot Jean Girard and reduced to a fear-ridden wreck."
tt0366548,Happy Feet,2006,"Adventure,Animation,Comedy",6.4,211626.0,happy feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
tt0082694,The Road Warrior,1981,"Action,Adventure,Sci-Fi",7.6,211360.0,the road warrior,"Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape."
tt5715874,The Killing of a Sacred Deer,2017,"Drama,Horror,Mystery",7.0,211186.0,the killing of a sacred deer,"Dr. Steven Murphy is a renowned cardiovascular surgeon who presides over a spotless household with his wife and two children. Lurking at the margins of his idyllic suburban existence is Martin, a fatherless teen who insinuates himself into the doctor's life in gradually unsettling ways."
tt0387808,Idiocracy,2006,"Adventure,Comedy,Sci-Fi",6.5,211112.0,idiocracy,"To test its top-secret Human Hibernation Project, the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of freak events. But when they arrive, they find a civilization so dumbed-down that they're the smartest people around."
tt0307453,Shark Tale,2004,"Adventure,Animation,Comedy",6.0,210508.0,shark tale,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship."
tt1288558,Evil Dead,2013,"Horror,Thriller",6.5,210421.0,evil dead,"Mia, a drug addict, is determined to kick the habit. To that end, she asks her brother, David, his girlfriend, Natalie and their friends Olivia and Eric to accompany her to their family's remote forest cabin to help her through withdrawal. Eric finds a mysterious Book of the Dead at the cabin and reads aloud from it, awakening an ancient demon. All hell breaks loose when the malevolent entity possesses Mia."
tt15671028,No Hard Feelings,2023,"Comedy,Romance",6.3,210361.0,no hard feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing."
tt29623480,The Wild Robot,2024,"Adventure,Animation,Family",8.2,210080.0,the wild robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
tt6450804,Terminator: Dark Fate,2019,"Action,Adventure,Sci-Fi",6.2,209901.0,terminator: dark fate,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet."
tt8106534,6 Underground,2019,"Action,Thriller",6.1,209142.0,6 underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator."
tt0063442,Planet of the Apes,1968,"Adventure,Sci-Fi",8.0,208907.0,planet of the apes,"Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist."
tt0072271,The Texas Chain Saw Massacre,1974,Horror,7.4,208705.0,the texas chain saw massacre,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way, they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw."
tt2557490,A Million Ways to Die in the West,2014,"Comedy,Western",6.1,208566.0,a million ways to die in the west,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival."
tt5519340,Bright,2017,"Action,Fantasy,Thriller",6.3,208565.0,bright,"In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle."
tt0142688,The Ninth Gate,1999,"Mystery,Thriller",6.7,208277.0,the ninth gate,"A rare book dealer finds himself at the heart of a string of paranormal events when he is hired to find the last two copies of a text, The Nine Gates of the Kingdom of Shadows, capable of summoning the Devil."
tt0120746,The Mask of Zorro,1998,"Action,Adventure,Comedy",6.8,208205.0,the mask of zorro,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter."
tt7556122,The Old Guard,2020,"Action,Thriller",6.7,208028.0,the old guard,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.
tt2239822,Valerian and the City of a Thousand Planets,2017,"Action,Adventure,Fantasy",6.4,207712.0,valerian and the city of a thousand planets,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe."
tt0352248,Cinderella Man,2005,"Biography,Drama,Romance",8.0,207614.0,cinderella man,"The true story of boxer Jim Braddock who, following his retirement in the 1930s, makes a surprise comeback in order to lift his family out of poverty."
tt1446192,Rise of the Guardians,2012,"Action,Adventure,Animation",7.2,207150.0,rise of the guardians,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world."
tt1465522,Tucker and Dale vs Evil,2010,"Comedy,Horror",7.5,207021.0,tucker and dale vs evil,"Two hillbillies are suspected of being killers by a group of paranoid college kids camping near the duo's West Virginian cabin. As the body count climbs, so does the fear and confusion as the college kids try to seek revenge against the pair."
tt9603208,Mission: Impossible - The Final Reckoning,2025,"Action,Adventure,Thriller",7.2,206984.0,mission: impossible - the final reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever."
